model,mae_kw,rmse_kw,mape_pct,r2
Random Forest,128.304229458549,289.38562198288025,7.523918606627069,0.9177960171393642
Linear Regression,188.09641431345486,325.33857125899686,11.660881407496618,0.8961013101642233
24-hour Seasonal Naive,206.25319662594532,370.0341494560826,12.07025028665241,0.8655927880505567
"ARIMA (2,1,0)",805.5240799693438,1023.1839839805087,53.10638481032737,-0.02765284247972999
