timestamp,load_kw,temperature_c,humidity_pct,is_weekend,season_code,substation_shutdown
2021-01-01 00:00:00,1967.3880148948756,18.333333333333332,90,0,1,0
2021-01-01 01:00:00,1967.3880148948756,18.333333333333332,90,0,1,0
2021-01-01 02:00:00,1967.3880148948756,18.333333333333332,90,0,1,0
2021-01-01 03:00:00,2442.6073308659334,25.555555555555557,49,0,1,0
2021-01-01 04:00:00,2756.205521881124,25.555555555555557,49,0,1,0
2021-01-01 05:00:00,3203.1577686726573,25.555555555555557,49,0,1,0
2021-01-01 06:00:00,4168.561319592168,28.333333333333332,34,0,1,0
2021-01-01 07:00:00,5102.704817536675,28.333333333333332,34,0,1,0
2021-01-01 08:00:00,5214.442879234559,28.333333333333332,34,0,1,0
2021-01-01 09:00:00,4856.947592552343,27.22222222222222,42,0,1,0
2021-01-01 10:00:00,4856.947592552343,27.22222222222222,42,0,1,0
2021-01-01 11:00:00,4646.607342481178,27.22222222222222,42,0,1,0
2021-01-01 12:00:00,4455.555210203101,21.666666666666668,42,0,1,0
2021-01-01 13:00:00,4198.823711302011,21.666666666666668,87,0,1,0
2021-01-01 14:00:00,4022.2376673687495,21.666666666666668,87,0,1,0
2021-01-01 15:00:00,4182.694854181929,19.444444444444443,87,0,1,0
2021-01-01 16:00:00,3709.637137618718,19.444444444444443,87,0,1,0
2021-01-01 17:00:00,855.9933655069996,19.444444444444443,87,0,1,0
2021-01-01 18:00:00,824.0682050218901,18.88888888888889,88,0,1,0
2021-01-01 19:00:00,765.2061903774694,18.88888888888889,88,0,1,0
2021-01-01 20:00:00,588.6201464442073,18.88888888888889,88,0,1,0
2021-01-01 21:00:00,490.516788703506,16.666666666666668,89,0,1,0
2021-01-01 22:00:00,431.6547740590853,16.666666666666668,89,0,1,0
2021-01-01 23:00:00,412.03410251094505,16.666666666666668,89,0,1,0
2021-01-02 00:00:00,1828.9157489821664,18.333333333333332,90,0,1,0
2021-01-02 01:00:00,1828.9157489821664,18.333333333333332,90,0,1,0
2021-01-02 02:00:00,1828.9157489821664,18.333333333333332,90,0,1,0
2021-01-02 03:00:00,1892.2655072689984,25.555555555555557,48,0,1,0
2021-01-02 04:00:00,2532.3448832060767,25.555555555555557,48,0,1,0
2021-01-02 05:00:00,3012.1575979188074,25.555555555555557,48,0,1,0
2021-01-02 06:00:00,4030.5255304829666,28.333333333333332,32,0,1,0
2021-01-02 07:00:00,4778.546312747738,28.333333333333332,32,0,1,0
2021-01-02 08:00:00,4797.13987816699,28.333333333333332,32,0,1,0
2021-01-02 09:00:00,4871.514139843997,26.666666666666668,38,0,1,0
2021-01-02 10:00:00,4919.8903188993945,26.666666666666668,38,0,1,0
2021-01-02 11:00:00,4886.3231742487105,26.666666666666668,38,0,1,0
2021-01-02 12:00:00,4327.36439788412,21.666666666666668,73,0,1,0
2021-01-02 13:00:00,4294.6199773670305,21.666666666666668,73,0,1,0
2021-01-02 14:00:00,4273.887329200431,21.666666666666668,73,0,1,0
2021-01-02 15:00:00,4004.3629030346383,19.444444444444443,88,0,1,0
2021-01-02 16:00:00,3720.3585321175697,19.444444444444443,88,0,1,0
2021-01-02 17:00:00,885.5802574018911,19.444444444444443,88,0,1,0
2021-01-02 18:00:00,834.9004507724259,18.88888888888889,88,0,1,0
2021-01-02 19:00:00,776.6515821138845,18.88888888888889,88,0,1,0
2021-01-02 20:00:00,660.1538447968018,18.88888888888889,88,0,1,0
2021-01-02 21:00:00,504.82352837402493,16.666666666666668,89,0,1,0
2021-01-02 22:00:00,446.5746597154841,16.666666666666668,89,0,1,0
2021-01-02 23:00:00,2175.940788532631,16.666666666666668,89,0,1,0
2021-01-03 00:00:00,2236.7565564879874,18.333333333333332,92,1,1,0
2021-01-03 01:00:00,2236.7565564879874,18.333333333333332,92,1,1,0
2021-01-03 02:00:00,2354.4805857768292,18.333333333333332,92,1,1,0
2021-01-03 03:00:00,2511.445958161951,25.0,52,1,1,0
2021-01-03 04:00:00,2805.756031384054,25.0,52,1,1,0
